"sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"35A",NA,NA,8861696,NA,18162688,4310272,NA,NA,NA,NA,22808576,38191104,20754432,4887808,NA,NA,12412928,9302016,2302720,NA,3721472,8868864,NA,1395392,NA,NA,28977152,NA,34574336,NA,NA,1402304,NA,1271360,6408960,NA,2669824,724544,NA,4227328,NA,NA,4114432,16980992,NA,NA,386859008,NA,NA,NA,552512,NA,3676672,330400,75042816,NA,NA,NA,NA,NA,62500864,28051456,NA,43405312,11696128,NA,62095360,NA,NA,1924800,1744192,NA,NA,143867904,NA,NA,2911744,NA,NA,NA,838208,NA,2109440,2109440,2406656,1781440,NA,3094784,NA,NA,NA,9633792,NA,1163968,13136896,NA,15339520,2957056,3510784,3929344,NA,208683008,2592768,NA,NA,NA,NA,NA,NA,NA,NA,NA,1589696,9175040,350032,NA,NA,28304384,NA,3796736,708416,NA,1500608,NA,NA,NA,NA,NA,NA,NA,516160,466796544,NA,NA,NA,NA,5390336,3242496,NA,NA,535360,NA,NA,NA,NA,498368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240320,NA,NA,NA,NA,NA,NA,NA,NA,NA,249888768,NA,8978432,NA,31965184,666112,NA,1783360,1847360,NA,2592256
"37A",NA,NA,12522496,NA,66793472,NA,NA,NA,NA,NA,115896320,NA,68034560,3773184,NA,897536,8885248,7997440,NA,NA,NA,8810496,NA,NA,NA,NA,32869376,NA,13225984,NA,NA,11252736,15036416,262672,13070336,NA,NA,NA,NA,6906624,NA,NA,18420736,NA,NA,NA,6059776,1379968,NA,NA,1227136,4847872,2000896,NA,102522880,1168640,NA,NA,NA,NA,NA,84271104,NA,5597696,15955968,NA,NA,3822848,2769152,NA,31940608,2050240,NA,14830592,NA,NA,10560512,NA,NA,NA,7414784,7177216,1504128,24189952,NA,2816512,3077632,6208000,NA,NA,679872,NA,4236800,NA,4725760,NA,38412288,NA,112033792,2677760,NA,29606912,10134528,NA,NA,158662656,NA,NA,NA,6284800,1422592,NA,NA,12641280,641216,NA,NA,84234240,NA,4612608,7230976,NA,2157568,NA,NA,NA,NA,NA,NA,NA,3605504,586743808,NA,NA,NA,NA,NA,563904,NA,NA,2335232,1551808,NA,NA,NA,345776,3174656,NA,NA,NA,NA,NA,NA,NA,NA,NA,3221248,NA,NA,NA,NA,NA,NA,912512,NA,586880,440238080,8163072,8668160,971456,21962752,NA,2310400,NA,NA,NA,25608192
"39A",16515072,1085568,11321344,NA,31032320,NA,NA,NA,NA,NA,35717120,7237632,15825920,2995456,NA,NA,22786048,NA,681600,NA,7041024,44773376,NA,1093888,NA,NA,111472640,NA,23478272,NA,NA,2157056,NA,502144,5516032,2216960,NA,NA,NA,8032256,NA,NA,7702016,17158144,NA,NA,244334592,NA,NA,NA,932992,NA,NA,NA,NA,NA,1998592,NA,1348608,996928,91820032,74731520,NA,61284352,21056512,NA,NA,3083264,NA,NA,15911936,NA,NA,179404800,NA,NA,4063232,NA,NA,NA,2892288,NA,NA,74420224,4034816,2018112,NA,2060608,1814976,742208,NA,1357376,5812736,NA,84332544,NA,21580800,4499200,10615808,2916096,NA,30484480,52318208,NA,NA,1816000,NA,NA,NA,103133184,NA,NA,NA,NA,NA,NA,NA,51515392,NA,1550720,511376,NA,2236160,854528,4837888,NA,NA,NA,211152,NA,1997952,1013121024,285294592,NA,NA,NA,NA,1187008,NA,NA,NA,NA,NA,NA,NA,NA,NA,813056,NA,NA,24523776,NA,NA,NA,NA,NA,598400,NA,NA,NA,NA,481504,NA,NA,NA,687808,232554496,NA,28444672,NA,33869824,5280768,5225472,1942272,NA,NA,4822528
"41A",17036288,300800,2665984,NA,44216320,1454528,NA,NA,2890752,NA,12744704,43397120,18092032,3141376,11260928,NA,34598912,NA,NA,NA,4885248,NA,5360640,2870528,NA,NA,17581056,NA,55431168,NA,NA,21567488,2061504,NA,3707136,7047936,NA,NA,NA,26867712,NA,13613056,3701504,117424128,1261952,1429696,651689984,NA,NA,NA,1236672,NA,NA,NA,7630848,NA,NA,NA,9764864,5042688,331251712,54984704,NA,225181696,23865344,21000192,NA,NA,NA,NA,1328960,NA,NA,878444544,11490304,4978688,2830080,NA,NA,NA,3227904,3255040,1188096,841216,NA,NA,NA,NA,NA,48955392,NA,3578368,2687232,NA,10586112,NA,17105920,NA,8184064,2548224,NA,26650624,1322432,NA,9412608,NA,NA,4481536,NA,NA,NA,NA,NA,5867776,NA,NA,NA,27590656,NA,1758080,665856,NA,3531520,NA,NA,1156608,821440,750272,NA,NA,4738816,2470969344,1310654464,NA,NA,NA,NA,2794240,NA,NA,NA,NA,NA,4283392,NA,NA,642752,NA,NA,NA,2721280,1355648,NA,NA,NA,NA,1942016,NA,15529984,NA,NA,536704,NA,1774080,NA,NA,1323368448,NA,17917952,NA,48607232,8479744,7398912,1113216,NA,NA,1970816
"45A",183418880,NA,8057088,28441600,NA,NA,2962176,NA,NA,NA,14190592,166232064,55037952,5281536,10992640,NA,12866560,NA,NA,9556992,NA,10043392,39911424,22067200,NA,1994048,NA,NA,175751168,NA,NA,NA,NA,NA,3456768,42856448,NA,NA,19791872,3526144,NA,18725888,6746368,14587904,5783808,NA,1253376000,2101504,NA,NA,NA,NA,NA,NA,298832,NA,NA,NA,69906432,7981824,30579712,NA,13247488,15652864,8897536,4370176,NA,2377472,NA,1867712,NA,NA,NA,523632640,3220480,NA,2573824,NA,NA,NA,NA,NA,NA,NA,NA,3555072,NA,10938368,NA,30405632,NA,NA,1763264,NA,NA,NA,16967680,3054592,6384384,2179072,NA,1206080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2102528,5097728,NA,NA,NA,31888384,NA,4424192,1157632,NA,1115264,406624,NA,NA,NA,NA,NA,1507776,NA,86949888,NA,NA,NA,NA,37953536,NA,NA,NA,896512,NA,NA,NA,NA,NA,NA,3371008,955264,NA,NA,NA,NA,NA,NA,NA,1580480,NA,NA,NA,NA,NA,NA,NA,NA,NA,143065088,NA,103280640,3244544,7832832,NA,NA,NA,9694208,NA,2176512
"47A",NA,NA,6033920,NA,13848576,1500544,NA,NA,NA,NA,50221056,11057152,28778496,2254080,NA,NA,38748160,NA,NA,NA,2273536,14223360,NA,NA,NA,NA,66359296,NA,19182592,NA,NA,171737088,5854976,NA,2971136,1018752,NA,NA,NA,8684544,NA,NA,3908352,11490304,NA,NA,198213632,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598592,NA,NA,232432,44457984,34861056,NA,38064128,12468224,NA,NA,1821248,NA,NA,NA,NA,NA,85270528,8985600,NA,5018880,NA,NA,NA,1813824,NA,NA,32607232,NA,NA,1234624,1940224,NA,NA,1138816,NA,39260160,NA,32763904,NA,16626688,NA,24688640,2168064,NA,141459456,49954816,NA,NA,822656,NA,NA,NA,59559936,NA,NA,NA,9052160,NA,NA,NA,63000576,NA,20090880,618432,2084608,2561792,1167424,NA,NA,NA,NA,NA,NA,6278656,1515585536,NA,NA,NA,3425280,NA,2424320,NA,NA,NA,NA,NA,NA,22166528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5662208,NA,1133760,NA,NA,4231936,752384,2023232,NA,NA,657981440,931008,27845632,NA,18987008,NA,2317312,NA,NA,NA,9084928
"49A",NA,190192,7714560,NA,15564800,NA,NA,NA,NA,NA,51646464,3564800,19508224,3536384,NA,NA,14216192,NA,NA,NA,NA,20774912,NA,1022336,NA,NA,29124608,NA,14475264,NA,NA,7344896,NA,564992,4353792,NA,2634240,NA,NA,4128512,NA,NA,6798080,6799616,NA,NA,184008704,NA,NA,NA,302608,NA,NA,NA,NA,NA,1272768,NA,NA,NA,27368448,30369792,NA,19354624,16194560,NA,NA,2700032,NA,NA,1081472,NA,NA,73691136,1657408,NA,4352768,NA,NA,NA,1026496,NA,4271360,4394752,930624,1141568,NA,1406592,NA,NA,1307776,NA,6111488,NA,11484160,NA,8749056,NA,6933760,801600,NA,12564480,2430976,NA,NA,NA,NA,NA,NA,1910400,NA,NA,NA,8523776,905408,NA,NA,60461056,NA,781120,NA,NA,429936,1008320,NA,NA,NA,NA,NA,NA,NA,737345536,203243520,NA,NA,NA,NA,985728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180273152,NA,8476672,NA,15249408,771584,2100480,NA,NA,NA,5091072
"51A",NA,NA,44998656,NA,28829696,745600,NA,NA,NA,NA,107044864,NA,74895360,NA,NA,NA,2104832,NA,NA,NA,NA,53510144,NA,NA,NA,NA,9585664,NA,13846528,NA,NA,13362176,6990080,NA,NA,NA,NA,NA,NA,1358656,NA,NA,47714304,NA,NA,NA,10887168,10277888,NA,NA,NA,1842944,NA,504480,4522240,NA,NA,NA,NA,NA,6458368,49164288,NA,6873344,9976832,NA,NA,17260544,NA,NA,4939008,NA,NA,NA,1774784,NA,12083200,NA,NA,NA,1305600,NA,3518720,NA,NA,6892800,15785984,4498176,NA,NA,5644032,NA,NA,1641664,5120768,NA,161136640,3901952,320372736,33562624,NA,139280384,14708736,NA,NA,NA,1323456,NA,NA,12621824,1534592,2601728,NA,31100928,NA,NA,NA,61800448,1369408,10706944,3116288,NA,26849280,1800512,NA,NA,NA,NA,1370048,NA,5506560,1526595584,608698368,NA,NA,NA,NA,NA,NA,NA,1450176,NA,NA,NA,NA,NA,823552,NA,NA,NA,NA,NA,NA,NA,NA,NA,10177536,NA,NA,10579968,NA,NA,956032,2253312,NA,NA,628424704,NA,9737216,1295040,31463424,NA,NA,9177088,NA,NA,23231488
"53A",59211776,NA,15995904,20310016,NA,4257280,3853824,NA,NA,NA,36003840,42954752,22952960,NA,NA,NA,5453312,NA,NA,12957696,NA,14986240,4809472,3164672,NA,NA,13058048,NA,118644736,NA,NA,1982208,3957248,1835712,NA,5565440,NA,NA,3305984,NA,NA,NA,8126208,21033984,1595520,1693888,403423232,NA,NA,NA,490272,NA,4432896,617856,NA,NA,NA,NA,2567936,1601408,80818176,41930752,NA,46993408,10798080,NA,NA,2917376,NA,NA,NA,NA,NA,211697664,31422464,NA,8056320,NA,NA,NA,2163200,NA,NA,1116608,NA,3689216,1053312,16190464,NA,NA,1456384,NA,NA,NA,3665152,NA,24906752,3158784,19551232,1977088,NA,23683072,1958336,NA,NA,1056128,NA,716608,NA,1398784,NA,NA,NA,1319698432,NA,NA,NA,74801152,NA,4996096,2442496,NA,3027456,614080,NA,NA,NA,NA,NA,1545472,1939712,43368448,NA,NA,NA,NA,1067840,NA,NA,NA,NA,NA,NA,NA,NA,NA,583296,9366528,504384,NA,NA,NA,NA,NA,NA,393184,2556160,NA,NA,950080,NA,NA,NA,NA,NA,NA,1096220672,NA,70361088,2290688,6025728,681216,NA,NA,4527360,NA,6789376
"55A",NA,NA,7061248,NA,6764800,NA,NA,NA,NA,NA,33426432,72572928,24076288,5971456,NA,NA,4596992,NA,NA,NA,NA,4976384,NA,1154304,NA,NA,3091200,NA,56877056,NA,1643584,NA,NA,NA,9636864,NA,1886976,NA,NA,NA,NA,NA,5182464,51642368,NA,NA,497123328,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257856,NA,NA,NA,157925376,10311680,NA,119963648,11833344,NA,9127936,3320576,NA,4262144,16005120,NA,NA,NA,NA,NA,5782528,770560,NA,NA,1209984,3692032,NA,13010944,17882112,NA,NA,NA,1598080,NA,2392576,NA,2614784,NA,NA,NA,25101312,3192064,10283008,5368064,NA,1168572416,12305408,576389120,NA,NA,NA,NA,NA,9478144,NA,NA,NA,10930176,NA,NA,NA,60801024,NA,1946944,1584320,NA,2726400,NA,27607040,NA,NA,NA,NA,NA,1480704,1094451200,304463872,NA,NA,NA,NA,2681600,993664,NA,NA,393472,NA,NA,NA,NA,NA,620032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602176,838080,NA,NA,NA,295452672,289328,NA,NA,8695808,10575872,NA,NA,NA,NA,4493824
"57A",5136640,NA,6558976,NA,31396864,2624256,NA,NA,NA,NA,70131712,NA,32413696,2524672,NA,NA,12540928,8799232,NA,NA,NA,6125312,NA,NA,NA,NA,433471488,NA,13869056,NA,2669056,6202112,NA,NA,3232768,NA,3191040,NA,NA,7312640,NA,NA,10130432,7856640,NA,NA,113774592,NA,NA,NA,812992,969024,NA,NA,NA,NA,NA,NA,565888,NA,35258368,7097600,NA,28110848,6668032,NA,NA,3467008,NA,NA,2587648,NA,NA,41775104,30209024,NA,5936384,NA,NA,NA,NA,1919872,NA,4181760,NA,1268608,1903808,NA,NA,NA,NA,NA,NA,NA,257966080,NA,12787712,2318592,11222016,4315648,NA,239632384,2499840,NA,NA,NA,NA,NA,NA,NA,1563968,NA,NA,NA,NA,NA,NA,62033920,NA,3006464,1037056,NA,6396416,487136,NA,NA,NA,NA,NA,NA,NA,674037760,84910080,NA,NA,NA,NA,447696,NA,NA,1138752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378560,NA,NA,NA,NA,NA,NA,NA,NA,NA,261111808,NA,7720192,NA,9724928,1735424,NA,NA,NA,NA,8705024
"61A",39493632,983168,16118784,27061248,NA,2329088,NA,NA,NA,NA,20893696,42643456,22512640,4311808,11383808,NA,29283328,NA,NA,6669312,NA,15778816,10507264,4234240,NA,3983360,NA,NA,42356736,NA,NA,1772864,2735872,NA,7455232,43716608,50642944,NA,NA,6465280,2379008,10684416,6676480,17661952,NA,NA,717160448,NA,NA,NA,NA,NA,NA,NA,176799744,NA,3496704,NA,7033088,3875584,52420608,7817728,NA,37117952,24978432,NA,NA,3560704,NA,NA,NA,NA,NA,151879680,NA,NA,4575744,NA,NA,NA,NA,NA,NA,10994688,10994688,4181504,NA,7903488,NA,10303488,NA,NA,13790208,NA,NA,NA,20419584,3271936,23980032,2687744,NA,78249984,26011648,NA,1373504,NA,NA,NA,NA,3462656,NA,NA,NA,10852352,716800,NA,NA,57528320,NA,7023872,1381184,NA,1846400,NA,NA,NA,NA,NA,NA,NA,NA,1244397568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1730176,NA,NA,NA,NA,NA,NA,NA,NA,NA,658046976,NA,169115648,NA,13453312,NA,NA,1015168,NA,NA,3567872
"63A",5531392,NA,8896512,NA,12988416,2372352,276848,NA,420944,NA,83660800,19891200,46837760,3922944,NA,NA,17849344,NA,NA,NA,NA,8342528,NA,1412160,NA,4297216,NA,NA,39677952,NA,4649984,1228096,4375296,NA,6044928,NA,9669632,NA,NA,3659520,NA,NA,6462720,8528896,1039104,NA,388202496,NA,NA,NA,NA,NA,1803008,NA,NA,NA,NA,NA,NA,NA,30365696,10240000,NA,19640320,17233920,NA,4606720,2134016,3226624,3779072,NA,NA,NA,217923584,NA,NA,10823680,NA,NA,NA,NA,NA,NA,154386432,NA,NA,1036288,3635968,NA,NA,2029632,NA,889782272,NA,NA,NA,20774912,5351424,19183616,3681280,NA,586350592,136052736,249872384,NA,2512384,NA,NA,NA,41029632,NA,NA,NA,7789824,NA,NA,NA,134709248,NA,3717632,3749888,NA,3617280,NA,5903360,NA,NA,NA,NA,NA,490992,196591616,NA,NA,NA,NA,NA,1234688,NA,NA,NA,581632,NA,NA,NA,NA,NA,4656640,NA,NA,NA,NA,NA,1718144,NA,NA,1176384,NA,NA,NA,NA,12037120,NA,NA,NA,637184,198393856,NA,8602624,NA,23570432,398480,NA,NA,NA,NA,14526464
"65A",34443264,NA,12220416,9953280,NA,2370816,NA,NA,NA,NA,106033152,9520128,56172544,2729728,NA,NA,4473856,NA,NA,NA,6870272,11158528,6193920,2711040,NA,NA,1197888,NA,24372224,432912,NA,NA,NA,NA,2563584,8527872,10292224,NA,NA,2006656,NA,NA,22046720,7544576,995648,NA,174768128,NA,NA,NA,352352,NA,1987072,404272,NA,430496,NA,NA,912704,NA,14422016,7656192,NA,6840320,6615296,NA,2284288,3168000,NA,NA,25411584,NA,NA,34344960,7180032,NA,8087296,NA,NA,NA,NA,NA,NA,8818688,9169920,2473984,NA,6974208,NA,NA,2502400,NA,17920000,NA,NA,NA,6474752,1144576,7693056,1140544,NA,179863552,13981696,NA,NA,678656,NA,NA,NA,966656,NA,NA,NA,76881920,1518528,NA,NA,66965504,NA,1176512,2781440,NA,1123008,NA,NA,NA,NA,NA,NA,536640,NA,123432960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488032,NA,NA,NA,89473024,NA,35823616,NA,6408448,NA,3002112,1107072,2090944,NA,13794304
"71A",105308160,NA,5378048,17008640,NA,NA,1998464,NA,NA,NA,31864832,15664128,14218240,2140672,NA,NA,NA,NA,NA,13367296,NA,NA,14203904,2659328,NA,6305024,NA,NA,137723904,NA,NA,NA,8861696,NA,3077888,11678720,NA,NA,20516864,NA,NA,NA,17759232,13904896,NA,NA,378322944,NA,NA,NA,NA,NA,2280960,474192,62808064,NA,NA,NA,4974848,NA,78540800,52453376,NA,37588992,9648128,NA,NA,4439296,NA,NA,NA,NA,NA,19595264,3059456,NA,5992192,NA,NA,NA,1207936,NA,1462016,41402368,NA,NA,1396736,4645120,NA,NA,1896256,NA,1444288,NA,NA,NA,23211008,3118592,12469248,2155264,NA,317751296,2428160,NA,NA,1328192,NA,NA,NA,1170432,NA,NA,3176704,723124224,NA,NA,NA,75403264,NA,2073216,2905600,NA,1979776,1014592,NA,NA,NA,NA,NA,2713856,1412480,31071232,NA,NA,NA,NA,11383808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328832,1358272,NA,NA,NA,NA,NA,NA,1035520,NA,NA,NA,729216,NA,NA,NA,NA,NA,NA,329515008,NA,82886656,NA,3834624,NA,3428608,966784,2069440,NA,5850112
"79A",5900032,672384,5652224,NA,68894720,1624896,NA,NA,1592384,NA,51056640,15474688,24202240,1547968,NA,NA,21970944,NA,NA,NA,NA,9202688,NA,NA,NA,NA,198524928,NA,40718336,NA,NA,54411264,4033280,1198784,1659328,3943680,3699456,NA,NA,15447040,NA,NA,3316992,50106368,783616,NA,318865408,1827392,NA,590592,NA,1039360,NA,NA,2066496,NA,2055808,NA,599680,788608,181764096,33255424,NA,136019968,NA,NA,NA,1703744,9038848,NA,29128704,NA,NA,254345216,NA,1494656,5724672,NA,NA,NA,1653568,NA,2132736,NA,NA,5754112,2543872,NA,NA,1139456,NA,NA,4726784,NA,155451392,NA,27106304,4683264,7168000,1039296,NA,32057344,3364096,NA,837056,937216,1193280,NA,NA,3854848,NA,NA,NA,5383936,403488,NA,NA,74641408,NA,5094400,NA,NA,1561152,979904,NA,NA,NA,NA,NA,NA,1913408,1199505408,1019150336,NA,NA,NA,NA,2794496,NA,NA,1007424,NA,NA,1820096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2809088,NA,460224,NA,NA,NA,1609984,1038464,NA,NA,703201280,5310976,8352768,817984,98992128,33267712,NA,1732352,NA,NA,7208960
"81A",5555712,NA,10566656,8790016,NA,1037952,NA,NA,NA,NA,35880960,4571392,15795200,1881472,NA,NA,3056640,3239936,NA,NA,NA,20737024,NA,NA,NA,NA,158810112,NA,17811456,NA,NA,4568832,NA,750848,NA,1573568,NA,643456,NA,1662656,NA,NA,3945728,4685568,NA,NA,121757696,NA,NA,NA,NA,NA,1564224,NA,8132096,NA,NA,NA,NA,613376,21425152,11894784,NA,14555136,7611904,NA,2041536,2429184,1657664,1115072,21312512,NA,NA,128888832,NA,NA,5062144,NA,NA,NA,797696,NA,NA,20501504,2179584,1523776,1377920,1928960,1752064,NA,1199488,1343936,4103424,4481280,128782336,NA,15002624,5328640,6412288,1965120,NA,37068800,6446848,NA,NA,NA,NA,NA,NA,3356928,876800,NA,NA,22509568,1548992,NA,627520,48566272,NA,2007744,1197888,NA,1630848,1112000,4317952,NA,NA,NA,NA,NA,946112,1097072640,NA,NA,NA,NA,NA,1747008,NA,NA,747520,NA,NA,NA,NA,NA,NA,950592,NA,NA,NA,NA,NA,NA,NA,NA,1681152,NA,NA,NA,NA,665408,NA,1262208,NA,NA,553844736,NA,53817344,NA,9498624,885312,6421504,NA,NA,NA,4398848
"83A",NA,304928,12900352,NA,28887040,1933760,NA,NA,NA,NA,67026944,NA,34455552,1119360,NA,NA,28141568,NA,NA,NA,NA,25008128,NA,NA,NA,NA,120201216,NA,14316544,NA,NA,2338816,NA,NA,2788864,NA,1712256,NA,NA,8195584,NA,NA,5018368,4300544,NA,NA,58683392,5771520,NA,NA,NA,NA,NA,364304,23218176,NA,NA,NA,NA,NA,28986368,32979968,NA,15639552,25342976,NA,NA,3563008,NA,NA,4898560,NA,NA,54632448,NA,NA,9284608,NA,NA,NA,1997632,NA,1105664,4141056,1463744,NA,2297600,1233088,NA,NA,1143552,NA,NA,NA,57368576,NA,18615296,NA,35221504,2753280,NA,99086336,9177088,NA,NA,NA,893696,NA,NA,12643328,NA,NA,NA,25447424,NA,NA,NA,91033600,NA,4621824,606656,NA,2020864,1361024,4183552,NA,NA,NA,NA,NA,2991872,2433744896,NA,NA,NA,NA,NA,1409472,NA,278528,1087104,NA,NA,NA,NA,NA,660096,NA,NA,NA,NA,NA,NA,NA,NA,NA,1631872,NA,NA,NA,NA,NA,NA,1396864,NA,NA,606601216,NA,9108480,NA,33648640,895424,NA,NA,NA,NA,10035200
