"","stearic acid","elaidic acid","myristic acid","cholesterol","oleic acid","lauric acid","palmitic acid","putrescine","fucose","tyramine","hexuronic acid1","sulfuric acid","urea","leucine","valine","alanine","arachidonic acid","1-monoolein","linoleic acid","aspartic acid","gluconic acid","1-monopalmitin","glucose","isoleucine","succinic acid","lysine","proline","2-monopalmitin","phenylalanine","tyrosine","cellobiose","glycine","glycerol-3-galactoside","histidine","arachidic acid","tocopherol alpha-","mannose","hydroxylamine","pentadecanoic acid","heptadecanoic acid","citric acid","ornithine","serine","tryptophan","mannitol","threonine","4-aminobutyric acid","monomyristin","lyxitol","uric acid","phenylethylamine","ethanolamine","behenic acid","docosahexaenoic acid","5-aminovaleric acid","isohexonic acid","lactobionic acid","ribonic acid","N-acetyl-D-galactosamine","trehalose","trans-4-hydroxyproline","saccharic acid","2-monoolein","lactic acid","hexadecylglycerol NIST","beta-gentiobiose","syringic acid","isoheptadecanoic acid NIST","zymosterol","N-acetyl-D-mannosamine","creatinine","gluconic acid lactone","1-monostearin","N-methylalanine","ribose","butyrolactam NIST","caffeine","methionine","cystine","xylose","levoglucosan","butane-2,3-diol NIST","alloxanoic acid NIST","2-hydroxybutanoic acid","maltose","raffinose","nonadecanoic acid","pseudo uridine","methionine sulfoxide","xylonic acid","capric acid","tocopherol gamma-","uracil","UDP-glucuronic acid","thymine","erythritol","alanine-alanine","isothreitol","glyceric acid","malic acid","tagatose","tyrosol","xanthine","N-acetylaspartic acid","lignoceric acid","squalene","2-hydroxyhexanoic acid","dihydroxyacetone","galactinol","dihydrocholesterol","xylulose NIST","fumaric acid","methyl O-D-galactopyranoside","2-hydroxyglutaric acid","N-acetylputrescine","4-hydroxyphenylacetic acid","isothreonic acid","cysteine","pyruvic acid","6-hydroxynicotinic acid","asparagine","galacturonic acid","acetophenone NIST","hexitol","taurine","threonic acid","indole-3-lactate","thymidine","nicotinic acid","lyxose","glutamine","lactitol","xylitol","benzoic acid","2-hydroxyvaleric acid","n-acetylglutamate","1,2-anhydro-myo-inositol NIST","3-hydroxybutyric acid","3-phenyllactic acid","palatinitol","phytol","delta-tocopherol NIST","glycolic acid","sebacic acid, di(2-octyl) ester NIST","beta-mannosylglycerate","3-hydroxypropionic acid","xylonolactone NIST","propane-1,3-diol NIST","glycerol-alpha-phosphate","hydroxycarbamate NIST","inosine","homocystine","epsilon-caprolactam","maltotriose","2-ketoisocaproic acid","methyltetrahydrophenanthrenone1 NIST","indole-3-acetate","2-deoxytetronic acid","stigmasterol","2-deoxytetronic acid NIST","parabanic acid NIST","1-monoheptadecanoyl glyceride NIST","alpha-ketoglutarate","maleimide","5-hydroxymethyl-2-furoic acid NIST","isocitric acid","pipecolinic acid","cholic acid","phenylacetic acid","nicotinamide","adenine","fructose","2-deoxypentitol NIST","N-acetylornithine","n-acetyl-d-hexosamine","urocanic acid","orotic acid","pyrophosphate","aconitic acid","digalacturonic acid","4-hydroxybenzoate","shikimic acid","phenol","oxalic acid","7-methylguanine NIST","chenodeoxycholic acid","inositol-4-monophosphate","adipic acid","cerotinic aci","aminomalonate","adenosine","O-acetylserine","4-hydroxymandelic acid","uridine","conduritol-beta-epoxide","allantoic acid","2-hydroxypyrazinyl-2-propenoic acid ethyl ester NIST","xanthosine","dodecanol","tocopherol beta NIST","beta-alanine","guanosine","hexaric acid","2-picolinic acid","3-hydroxy-3-methylglutaric acid","phosphoethanolamine","5,6-dihydrouracil","3,4-dihydroxyphenylacetic acid","2,3-dihydroxybutanoic acid NIST","homoserine","pyrrole-2-carboxylic acid","adenosine-5-monophosphate","4-pyridoxic acid","erythrose","azelaic acid","citramalic acid","cytosin","3-aminoisobutyric acid","glutaric acid","maleic acid","tartaric acid","erythronic acid lactone","malonic acid","glucose-6-phosphate"
"WANDRO_66",1481032,808249,40879,5851785,54454,15281,178073,16695,1122155,504957,10016813,10432431,2004505,2160,2344,56501,79408,82023,16586,20954,49235,16466,80122,7243,5987,20252,1112,7233,4559,77387,113106,35048,4368,6933,24818,7249,14276,253549,72941,35237,51846,17878,23146,1874,20486,5310,1310,593,2349135,3263,98,19113,215368,52992,937,535041,25093,13444,839,505107,33111,454068,16356,70167,20354,43949,61885,2820,64077,662,4737,10276,18544,4900,16422,1228,104997,557,741,36076,3929,8239,248,16325,317359,616,26075,83151,23581,11242,1044,1048,41459,13139,21275,14949,3270,21946,13212,11295,8907,1921,1564,6872,4173,10674,4402,29482,14913,8762,7784,7265,2240,1342,8175,7952,30748,869,9701,405,2047,81967,3206,6356,6190,18264,7167,7202,5621,14085,698,5446,19335,22633,10215,6660,5089,11120,12075,14130,2035,762,3509,10092,2301,5301,15513,446,58947,1319,9792,25800,478,1605,1362,8343,1403,3511,1337,15372,2399,534,5135,5724,9248,3807,5987,2024,2524,11888,1194,1574,10499,1519,1576,1123,6328,712,1410,1637,573,2228,2817,9598,3850,1619,700,2927,1098,316,3347,236,1212,607,5044,375,1899,2722,1221,557,312,305,2595,3932,4457,1169,321,1046,3800,202,250,573,634,878,698,962,655,293,625,507,1617,707,587,186
"WANDRO_67",2289952,1538403,254713,4063252,227393,11485,848397,21072,1360000,841930,8524480,10417098,1390333,5784,3880,123989,281601,107473,42496,140368,32401,15590,52503,13215,3473,18546,2375,8911,10297,66434,143738,29884,3859,5782,44161,27536,4411,208503,43746,56194,39754,8010,49776,7823,28582,22508,1604,1155,2519365,21494,292,16738,210860,96293,781,419464,45927,11145,4006,365508,38429,355535,17840,18825,74075,49507,59337,5413,90840,416,5348,5518,16786,34052,15145,1906,110690,819,2085,20179,519382,3403,647,7428,206241,10811,11659,48829,24950,10821,1123,4334,51176,15869,25389,22075,5757,17072,8783,7775,2984,1911,2037,4804,14939,25880,7099,18716,24496,18475,9358,7095,5356,907,11073,9295,11185,1002,7202,168,4514,125492,1938,6295,2039,7895,11195,12043,8797,7498,491,1890,16696,32664,6311,8598,3210,9446,9954,16887,2448,1205,2849,9665,2272,3294,7529,443,43895,1230,9133,17582,401,3290,1463,4963,2022,1562,2142,8986,3985,1006,2864,5247,3084,1963,5131,1745,3767,6116,716,523,6496,2152,1249,844,2597,819,892,2694,540,2889,2750,4105,4329,1608,1155,4292,3189,294,3296,485,254,859,8680,517,1272,4143,1377,670,241,638,2706,1453,3089,540,307,930,1384,176,288,640,4092,741,645,552,546,277,682,412,997,596,661,181
"WANDRO_68",1383124,766324,106087,4658427,188381,40954,242815,14284,3428690,270840,8900581,4257253,3925676,40388,66861,155250,347195,80607,67700,10945,470679,17130,112857,102035,7864,29434,980,11679,34490,418446,279346,44101,17922,17514,36472,18190,14241,274251,83714,30753,32515,51527,120726,20918,24312,722728,582699,1762,811258,736818,89,309929,82697,32157,440,692823,90393,40416,5703,250056,23349,581611,31807,197918,24204,72227,233997,10867,22216,4026,7351,44151,22131,1423,27856,3381,133115,2208,2230,198997,13181,52229,1906,33189,124857,6336,9831,225692,20100,38009,939,4207,25767,72959,19942,92491,7752,53325,20435,2409,10805,29823,11735,12706,5444,12152,17417,88098,39177,8881,26263,6044,6573,1500,33797,11791,98454,7571,103987,773,69732,55607,3830,29378,180225,57541,24789,33659,19129,2295,2904,2444,15998,47961,51039,5479,18809,18326,26473,40755,1343,1481,11711,10323,2172,10625,6066,611,16283,10513,12946,23874,15437,28675,1330,4205,1649,9747,2165,24521,22231,937,3422,332,32260,2977,589,4147,2862,12497,1468,272,18507,3009,18000,1952,7562,2286,2254,4112,6444,13332,15869,20007,479,2213,665,3530,967,591,3920,229,13222,3985,5095,15964,1582,3178,1846,775,291,395,3670,7739,11793,2385,399,8406,8292,294,652,1017,10025,2496,680,1710,682,119,453,609,769,1021,898,119
"WANDRO_69",1799914,1005776,117169,7327082,138200,45285,282918,21952,3630002,566851,1878423,684571,3865760,568580,1059689,1858402,397875,240248,68924,233858,271110,11752,446981,325887,19341,441559,92947,35394,472797,475989,424755,1134142,6739,114732,93833,24155,6265,562122,35131,41877,110427,322329,95918,197197,16004,257326,2209,1114,207120,576827,1370,131034,128423,30232,3046,238113,970542,37970,14214,385735,116052,204043,175907,71229,12378,616249,200631,6120,99035,3914,72941,48921,19120,26080,111989,4935,125470,43542,53013,100369,51974,35181,1815,165244,30488,551139,11392,183571,48352,38735,3081,5956,5337,3046,50754,98305,32612,61648,33679,4316,4138,112572,18601,25887,13926,15473,6404,39511,97305,19085,50782,7283,5689,2480,27898,40685,40329,4099,172733,3003,21984,15263,3967,22557,88222,30438,872,11086,22892,34384,3366,38938,40240,15886,35960,10692,24688,22394,3569,75428,1804,2644,9325,18889,2185,7536,3416,811,25001,7973,53824,3352,5006,28346,10375,12015,1178,4109,4508,13499,11101,1380,5155,11453,12289,5408,562,10400,1192,11097,3241,2601,7934,2875,11368,2153,4124,2099,9603,34875,1501,8642,4262,8489,16996,3875,1060,2626,5547,1914,2935,2021,2910,2679,2085,594,4106,2732,2957,1669,587,6742,3714,3021,3419,2942,950,3167,2298,466,1576,6376,3387,1665,676,811,1750,384,541,626,783,815,1099,1082
"WANDRO_70",7506631,3315137,6282683,2721482,75211,3063842,2779887,903667,1190977,1038494,230305,88303,1626375,213549,362383,385275,670008,370133,907650,55186,1919,1049941,10420,160081,41313,237569,50574,104618,133113,17816,17991,234982,14588,54594,129347,97543,15104,160597,155352,127815,7598,120752,69885,85172,7606,45276,753,63779,67310,220727,7598,19037,45634,142993,908,13192,97173,12791,544,153374,22226,15371,34042,22639,134751,131434,9348,78334,149917,1641,42203,1839,27702,25159,11021,1421,35309,9937,32817,42606,25792,39189,46069,10305,5745,203295,12630,55790,16180,14722,18201,18185,4237,9612,7522,35318,12540,23255,9322,2189,3992,4781,1080,38895,12311,56826,2163,20130,43169,11221,39543,5120,3765,1271,9863,6753,13731,944,349,207,8264,2706,15384,34228,19796,13327,11901,471,2709,1816,570,14496,9628,6121,4047,3004,4983,6965,2502,31633,2078,965,3746,5924,2005,972,2574,264,1678,4837,3064,3204,1924,12021,1775,4574,777,1262,7615,3671,2578,3495,690,95,3441,4722,213,7495,1091,3556,824,290,3031,1163,887,2585,1511,4227,7800,3764,1261,555,1493,1310,3038,1772,1266,997,2850,720,1019,157,1040,539,422,708,980,883,652,903,114,680,831,2687,2538,136,134,635,582,386,621,1111,1089,482,411,374,265,63,180,214,248,272,396,147
"WANDRO_71",11381932,7972503,1143593,5780330,2767584,347769,2425751,67767,10119,307159,537076,2083,540412,356193,287807,301461,671687,24282,90429,116090,169,14353,101460,191083,9586,39787,81239,6815,79329,69610,8100,66321,629,138786,189886,706040,5225,206544,86038,167759,1301,13095,52053,103021,1694,36957,3486,1467,34279,41940,2623,17937,103957,63278,6050,1116,9732,6413,782,2064,164367,1448,4887,7320,68429,14643,34982,32012,166625,328,29170,317,13866,13549,50447,1742,933,16078,3397,95860,11040,1550,1801,60108,3013,71123,26344,1458,8934,5836,8405,32735,35816,24040,8948,28992,44702,11917,43085,4808,11497,69851,15701,13587,16881,29582,1426,7637,3977,227181,7684,9672,3882,6088,1685,16287,16121,6597,1098,1820,840,402,3569,2394,3462,3697,11853,656,24417,36234,13304,352,9603,13164,8667,7366,2023,6775,10574,871,11510,5514,4132,6831,685,13065,20244,356,3557,21120,3600,2851,10475,852,1853,4796,3627,8149,3078,632,5431,507,218,6885,1923,168,2899,6213,1664,3063,1374,970,2964,461,2581,1927,831,1261,865,490,2001,978,1356,847,3446,2520,212,8242,878,1258,2667,653,2021,587,590,294,1147,798,1055,880,2486,782,571,1486,2645,1156,445,1046,697,355,490,1322,493,331,662,332,295,1074,1656,365,1153,220,386,528
"WANDRO_72",8003122,6201023,3426404,4127597,3548444,1474484,2203919,95885,8937,24548,38976,37110,702934,1469039,836819,246412,374991,11382,932045,70734,205,4470,29689,610106,6405,29177,18561,2010,173062,751888,59421,50283,4199,130655,96241,671109,899,34182,84734,142545,2061,5628,42518,71403,1194,17865,4754,845,62683,390524,11547,9624,58997,63949,3247,1320,9268,66604,3631,3369,354013,1575,1757,4249,34608,13050,273007,35215,194858,2144,64290,607,5035,23265,36915,2455,665,16507,3198,13267,9882,1940,2484,1741,12180,63572,14782,996,4461,15848,68552,54420,22225,1484,9088,50394,9564,38857,34191,3534,10559,686,12013,18154,8527,26393,7497,9941,5885,177577,10588,9225,3720,5429,3038,2046,32055,1602,3743,138,1285,460,4445,26761,6788,6881,7655,393,17849,5629,2628,1826,12926,14098,15942,2041,2706,13388,7726,2334,35840,9016,3347,5443,160,2919,2899,359,2261,4277,2839,2314,2970,1195,5477,2603,4879,40244,11989,1195,2016,282,418,2349,679,182,2787,5403,962,7636,988,939,7422,330,4169,991,1791,382,844,432,725,829,1102,532,7541,834,190,15682,979,617,612,146,1791,544,693,478,761,386,847,4514,2037,381,315,1461,3554,201,441,1409,1786,374,307,638,1091,408,416,411,321,359,771,463,238,197,315,531
"WANDRO_73",10811803,618475,2903852,3142890,2016718,293685,3344887,7699,4064259,61427,4981747,1640051,386866,28860,101710,45490,310273,17611,1013345,119562,7404,127560,28945,76252,34039,28808,5684,28643,77133,18495,48703,23355,9569,3787,364625,84820,16535,197240,163447,339033,10132,3548,21362,70524,2586,14168,956,9197,12889,112721,507,3324,154523,49430,223,101198,6376,12999,3499,3019,31010,122597,4044,10485,134863,10210,15630,97933,38285,1102,16586,570,14905,4448,20171,1442,34117,586,38571,23751,58115,2364,42980,3183,4362,2112,23208,21543,16906,12361,3677,12982,1932,42216,9861,13514,980,8187,11555,2412,2718,116035,564,51288,41199,19279,1377,1696,4516,7735,3076,3004,4484,2731,39795,87808,8002,5490,1455,2880,1068,8978,4180,32648,311,6340,991,604,32554,7491,278,620,10755,4876,3904,18331,2271,4340,2637,8675,867,1097,5950,6181,18934,1498,4976,418,3513,1077,3969,10852,475,481,950,3380,657,1648,2503,1565,1692,1618,1836,1940,2007,552,244,1510,23941,1650,453,626,1906,134,680,283,1113,816,320,958,627,1134,1379,1286,1212,711,706,901,5827,312,1139,115,511,1580,2603,511,1162,366,1240,986,171,429,1683,498,208,341,156,283,787,194,138,407,1295,512,429,137,122,178,163,404,361,118,604,193
"WANDRO_74",3945368,2761156,4562908,1116806,1655284,1904379,1532308,3253536,145983,5081614,15539,61,275291,720652,657310,396332,1603906,1345618,244572,20784,175,732826,361521,586818,1711609,120936,121066,230182,288676,11763,10573,57058,12625,243855,64359,286152,437996,27065,99464,23821,327,44989,16452,37731,4112,10546,783033,104283,9045,7481,252897,22884,41612,218195,5617,51,3561,40305,6102,4446,128086,51,101635,32929,58721,2150,2629,16461,66562,803,3395,5261,31991,32669,9786,103492,11667,63766,49958,8195,6175,2754,2100,14216,8095,65789,134604,4487,17499,12898,40934,27325,1715,5832,2938,990,18715,5956,9886,6591,16959,3488,616,12712,5302,19820,60764,1940,6009,2358,3986,4878,10520,4836,1590,3898,7652,13508,18130,591,372,637,12160,13842,1188,4145,954,195,1329,1099,1504,233,1080,1787,15732,6635,5748,2823,2420,1963,8061,6716,1328,3602,1311,11611,770,8130,2681,3124,2638,2140,2179,155,1969,2668,505,1537,892,1405,2743,4712,821,6233,202,177,194,1065,4749,65,3996,1668,824,3591,209,1535,2383,3507,2136,236,429,2518,464,736,256,596,1241,483,557,810,988,1779,149,391,729,307,609,183,302,731,930,1551,211,394,301,1365,1165,194,131,1390,2034,759,154,685,366,508,1167,136,139,410,84,683,143,236
"WANDRO_75",1834630,518363,97562,5943477,95481,37261,278712,16365,12777153,59821,6025195,2093329,1679370,14655,34772,42590,100280,24602,19938,83659,2275641,18754,239715,20581,12871,65687,10148,38909,33684,288962,341636,15457,2122,38094,53726,8891,69019,248606,24837,46356,39883,10077,56590,9837,982023,13723,2069,1904,47317,308495,13401,22842,66884,3039,201,314436,14898,10276,98180,18807,32314,269439,31707,21000,20104,18273,105174,11104,19770,35932,7005,208527,13807,3776,17153,1511,41484,941,38763,59788,11754,4302,314,12734,8428,7761,23617,92692,4459,12175,819,1237,2341,162537,5329,48949,3885,23039,11469,2401,9901,289,428,7434,13801,29507,2705,23553,15311,15731,12515,6257,9384,2045,92124,2756,26924,618,2394,267,4136,30707,1884,6641,3375,25086,73942,1570,7202,21970,1915,2098,12571,8737,6590,5563,7352,11667,15492,4784,504,1553,5232,8017,424,8653,1559,2904,3823,3949,7370,1681,95,14238,2173,2867,1734,5250,3947,6038,6460,1411,5495,2571,5501,6135,557,1946,2469,4037,4457,616,5647,1385,11811,1453,10671,989,2337,1034,722,1204,2467,4799,6645,1893,263,1628,1073,364,3772,227,2334,1168,2531,2639,1826,868,1208,579,223,590,2856,3489,3558,236,241,545,1049,1217,340,548,2105,1084,373,473,395,157,362,223,1338,532,391,227
